ticker,cik,10-K #1 Filing Date,10-K #1 Period,10-K #2 Filing Date,10-K #2 Period,10-Q #1 Filing Date,10-Q #1 Period,10-Q #2 Filing Date,10-Q #2 Period,10-Q #3 Filing Date,10-Q #3 Period,10-Q #4 Filing Date,10-Q #4 Period,10-Q #5 Filing Date,10-Q #5 Period,10-Q #6 Filing Date,10-Q #6 Period
gl,0000320335,2020-02-27,2019-12-31,2019-03-01,2018-12-31,2020-05-07,2020-03-31,2019-11-12,2019-09-30,2019-08-08,2019-06-30,2019-05-07,2019-03-31,2018-11-07,2018-09-30,2018-08-08,2018-06-30
gpn,0001123360,2020-02-21,2019-12-31,2019-02-21,2018-12-31,2020-05-06,2020-03-31,2019-10-31,2019-09-30,2019-07-30,2019-06-30,2019-05-02,2019-03-31,2018-10-30,2018-09-30,2018-08-02,2018-06-30
gs,0000886982,2020-02-21,2019-12-31,2019-02-26,2018-12-31,2020-05-01,2020-03-31,2019-11-01,2019-09-30,2019-08-05,2019-06-30,2019-05-06,2019-03-31,2018-11-02,2018-09-30,2018-08-03,2018-06-30
gww,0000277135,2020-02-20,2019-12-31,2019-02-28,2018-12-31,2020-04-23,2020-03-31,2019-10-23,2019-09-30,2019-07-24,2019-06-30,2019-04-22,2019-03-31,2018-11-01,2018-09-30,2018-07-26,2018-06-30
hrb,0000012659,2019-06-14,2019-04-30,2018-06-15,2018-04-30,2020-03-09,2020-01-31,2019-12-06,2019-10-31,2019-09-06,2019-07-31,2019-03-08,2019-01-31,2018-12-07,2018-10-31,2018-09-07,2018-07-31
hal,0000045012,2020-02-11,2019-12-31,2019-02-13,2018-12-31,2020-04-24,2020-03-31,2019-10-25,2019-09-30,2019-07-26,2019-06-30,2019-04-26,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-06-30
hbi,0001359841,2020-02-11,2019-12-28,2019-02-11,2018-12-29,2020-04-30,2020-03-28,2019-10-31,2019-09-28,2019-08-02,2019-06-29,2019-05-02,2019-03-30,2018-11-01,2018-09-29,2018-08-02,2018-06-30
hog,0000793952,2020-02-19,2019-12-31,2019-02-28,2018-12-31,2020-05-07,2020-03-29,2019-11-07,2019-09-29,2019-08-08,2019-06-30,2019-05-09,2019-03-31,2018-11-08,2018-09-30,2018-08-09,2018-07-01
hig,0000874766,2020-02-21,2019-12-31,2019-02-22,2018-12-31,2020-04-29,2020-03-31,2019-11-04,2019-09-30,2019-08-01,2019-06-30,2019-05-01,2019-03-31,2018-10-25,2018-09-30,2018-07-26,2018-06-30
has,0000046080,2020-02-27,2019-12-29,2019-02-26,2018-12-30,2020-05-07,2020-03-29,2019-10-22,2019-09-29,2019-07-31,2019-06-30,2019-05-01,2019-03-31,2018-11-01,2018-09-30,2018-08-01,2018-07-01
hca,0000860730,2020-02-20,2019-12-31,2019-02-21,2018-12-31,2020-05-06,2020-03-31,2019-11-01,2019-09-30,2019-08-02,2019-06-30,2019-05-03,2019-03-31,2018-11-06,2018-09-30,2018-08-03,2018-06-30
peak,0000765880,2020-02-13,2019-12-31,2019-02-14,2018-12-31,2020-05-06,2020-03-31,2019-10-31,2019-09-30,2019-08-01,2019-06-30,2019-05-02,2019-03-31,2018-10-31,2018-09-30,2018-08-02,2018-06-30
hsic,0001000228,2020-02-20,2019-12-28,2019-02-20,2018-12-29,2020-05-05,2020-03-28,2019-11-05,2019-09-28,2019-08-06,2019-06-29,2019-05-07,2019-03-30,2018-11-06,2018-09-29,2018-08-06,2018-08-06
hsy,0000047111,2020-02-20,2019-12-31,2019-02-22,2018-12-31,2020-04-23,2020-03-29,2019-10-25,2019-09-29,2019-07-25,2019-06-30,2019-04-25,2019-03-31,2018-10-26,2018-09-30,2018-07-27,2018-07-01
hes,0000004447,2020-02-20,2019-12-31,2019-02-21,2018-12-31,2020-05-07,2020-03-31,2019-11-07,2019-09-30,2019-08-06,2019-06-30,2019-05-01,2019-03-31,2018-11-09,2018-09-30,2018-08-01,2018-06-30
hpe,0001645590,2019-12-13,2019-10-31,2018-12-12,2018-10-31,2020-06-02,2020-04-30,2020-03-09,2020-01-31,2019-08-30,2019-07-31,2019-05-31,2019-04-30,2019-03-05,2019-01-31,2018-09-04,2018-07-31
